,date,country,confirmed
911,2020-01-25,中国,36
912,2020-01-25,中国,17
913,2020-01-25,中国,11
914,2020-01-25,中国,5
915,2020-01-25,中国,69
916,2020-01-25,中国,18
917,2020-01-25,中国,3
918,2020-01-25,中国,3
919,2020-01-25,中国,3
920,2020-01-25,中国,2
921,2020-01-25,中国,6
922,2020-01-25,中国,7
923,2020-01-25,中国,4
924,2020-01-25,中国,3
925,2020-01-25,中国,4
926,2020-01-25,中国,8
927,2020-01-25,中国,5
928,2020-01-25,中国,3
929,2020-01-25,中国,98
930,2020-01-25,中国,14
931,2020-01-25,中国,3
932,2020-01-25,中国,27
933,2020-01-25,中国,10
934,2020-01-25,中国,2
935,2020-01-25,中国,10
936,2020-01-25,中国,4
937,2020-01-25,中国,4
938,2020-01-25,中国,8
939,2020-01-25,中国,6
940,2020-01-25,中国,3
941,2020-01-25,中国,2
942,2020-01-25,中国,2
943,2020-01-25,中国,3
944,2020-01-25,中国,33
945,2020-01-25,中国,1
946,2020-01-25,中国,4
947,2020-01-25,中国,11
948,2020-01-25,中国,2
949,2020-01-25,中国,7
950,2020-01-25,中国,2
951,2020-01-25,中国,1
952,2020-01-25,中国,2
953,2020-01-25,中国,3
954,2020-01-25,中国,22
955,2020-01-25,中国,3
956,2020-01-25,中国,8
957,2020-01-25,中国,3
958,2020-01-25,中国,5
959,2020-01-25,中国,1
960,2020-01-25,中国,1
961,2020-01-25,中国,1
962,2020-01-25,中国,75
963,2020-01-25,中国,3
964,2020-01-25,中国,13
965,2020-01-25,中国,1
966,2020-01-25,中国,4
967,2020-01-25,中国,2
968,2020-01-25,中国,3
969,2020-01-25,中国,1
970,2020-01-25,中国,4
971,2020-01-25,中国,5
972,2020-01-25,中国,2
973,2020-01-25,中国,3
974,2020-01-25,中国,2
975,2020-01-25,中国,1
976,2020-01-25,中国,4
977,2020-01-25,中国,1
978,2020-01-25,中国,1
979,2020-01-25,中国,1
980,2020-01-25,中国,2
981,2020-01-25,中国,5
982,2020-01-25,中国,4
983,2020-01-25,中国,3
984,2020-01-25,中国,3
985,2020-01-25,中国,3
986,2020-01-25,中国,3
987,2020-01-25,中国,1
988,2020-01-25,中国,44
989,2020-01-25,中国,22
990,2020-01-25,中国,1
991,2020-01-25,中国,2
992,2020-01-25,中国,1
